# Метеостанция Екатеринбург, Россия, WMO_ID=28440, выборка с 11.12.2023 по 11.12.2024, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=28440&lang=ru
#
"Местное время в Екатеринбурге";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"09.12.2024 17:00";"-5.7";"749.1";"776.3";"-1.2";"44";"Ветер, дующий с юго-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-16.1";"";"";"";"";"";"";
"09.12.2024 14:00";"-5.9";"750.3";"777.6";"-1.5";"43";"Ветер, дующий с юго-юго-запада";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-16.7";"";"";"";"";"";"";
"09.12.2024 11:00";"-7.0";"751.8";"779.3";"-0.6";"53";"Ветер, дующий с юго-юго-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"20.0";"-15.0";"";"";"";"";"";"";
"09.12.2024 08:00";"-7.5";"752.4";"779.9";"-0.6";"52";"Ветер, дующий с западо-юго-запада";"3";"";"";"90  или более, но не 100%";" ";"";"";"-14.9";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-15.8";"Следы осадков";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"4.0";
"09.12.2024 05:00";"-9.6";"753.0";"780.8";"-0.4";"70";"Ветер, дующий с западо-юго-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-14.1";"";"";"";"";"";"";
"09.12.2024 02:00";"-12.2";"753.4";"781.6";"-0.9";"79";"Ветер, дующий с юго-юго-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-15.1";"";"";"";"";"";"";
"08.12.2024 23:00";"-14.3";"754.3";"782.7";"-0.5";"81";"Ветер, дующий с запада";"3";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-16.9";"";"";"";"";"";"";
"08.12.2024 20:00";"-14.7";"754.8";"783.2";"-0.6";"82";"Ветер, дующий с запада";"3";"";"";"Облаков нет.";"Алмазная пыль (с туманом или без него). ";"Снег и/или другие виды твердых осадков";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"-12.0";"";"";"";"";"";"10.0";"-17.1";"Следы осадков";"12";"";"";"";"";
"08.12.2024 17:00";"-14.5";"755.4";"783.8";"0.2";"78";"Ветер, дующий с запада";"3";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-17.6";"";"";"";"";"";"";
"08.12.2024 14:00";"-12.0";"755.2";"783.3";"0.2";"69";"Ветер, дующий с запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";"20.0";"-16.6";"";"";"";"";"";"";
"08.12.2024 11:00";"-12.7";"755.0";"783.3";"0.4";"72";"Ветер, дующий с запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";"20.0";"-16.7";"";"";"";"";"";"";
"08.12.2024 08:00";"-13.2";"754.6";"782.9";"0.1";"77";"Ветер, дующий с запада";"4";"";"";"90  или более, но не 100%";" ";"";"";"-13.5";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-16.4";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"4.0";
"08.12.2024 05:00";"-13.1";"754.5";"782.8";"0.1";"77";"Ветер, дующий с запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-16.3";"";"";"";"";"";"";
"08.12.2024 02:00";"-13.3";"754.4";"782.6";"0.1";"80";"Ветер, дующий с запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-16.0";"";"";"";"";"";"";
"07.12.2024 23:00";"-12.7";"754.3";"782.5";"0.3";"78";"Ветер, дующий с западо-северо-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-15.7";"";"";"";"";"";"";
"07.12.2024 20:00";"-11.6";"754.0";"782.0";"0.6";"80";"Ветер, дующий с запада";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"-9.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-14.4";"Следы осадков";"12";"";"";"";"";
"07.12.2024 17:00";"-10.5";"753.4";"781.3";"0.9";"74";"Ветер, дующий с западо-северо-запада";"2";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"-14.3";"";"";"";"";"";"";
"07.12.2024 14:00";"-9.3";"752.5";"780.2";"0.4";"68";"Ветер, дующий с запада";"4";"";"10";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-14.2";"";"";"";"";"";"";
"07.12.2024 11:00";"-9.7";"752.1";"779.8";"1.1";"79";"Ветер, дующий с северо-запада";"4";"";"";"90  или более, но не 100%";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-12.7";"";"";"";"";"";"";
"07.12.2024 08:00";"-10.4";"751.0";"778.8";"-0.4";"83";"Ветер, дующий с запада";"4";"";"";"Облаков нет.";" ";"";"";"-10.4";"";"";"";"";"";"";"10.0";"-12.7";"Осадков нет";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"4.0";
"07.12.2024 05:00";"-9.9";"751.4";"779.2";"-0.2";"84";"Ветер, дующий с запада";"4";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-12.1";"";"";"";"";"";"";
"07.12.2024 02:00";"-9.4";"751.6";"779.4";"-0.3";"84";"Ветер, дующий с запада";"4";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-11.7";"";"";"";"";"";"";
"06.12.2024 23:00";"-8.5";"751.9";"779.5";"0.1";"83";"Ветер, дующий с запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-10.9";"";"";"";"";"";"";
"06.12.2024 20:00";"-8.5";"751.8";"779.4";"0.0";"83";"Ветер, дующий с запада";"3";"";"";"Облаков нет.";" ";"";"";"";"-5.8";"";"";"";"";"";"10.0";"-10.9";"Осадков нет";"12";"";"";"";"";
"06.12.2024 17:00";"-8.7";"751.8";"779.5";"0.5";"82";"Ветер, дующий с западо-северо-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-11.2";"";"";"";"";"";"";
"06.12.2024 14:00";"-5.8";"751.3";"778.6";"0.3";"71";"Ветер, дующий с запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-10.3";"";"";"";"";"";"";
"06.12.2024 11:00";"-7.7";"751.0";"778.4";"1.3";"77";"Ветер, дующий с западо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"-8.0";"";"";"";"";"";"";"20.0";"-11.0";"";"";"";"";"";"";
"06.12.2024 08:00";"-7.4";"749.7";"777.1";"1.3";"79";"Ветер, дующий с северо-запада";"3";"";"";"Облаков нет.";" ";"";"";"-7.4";"";"";"";"";"";"";"10.0";"-10.5";"Осадков нет";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"4.0";
"06.12.2024 05:00";"-6.1";"748.4";"775.7";"1.5";"71";"Ветер, дующий с северо-северо-запада";"4";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"-10.5";"";"";"";"";"";"";
"06.12.2024 02:00";"-5.3";"746.9";"774.1";"1.9";"70";"Ветер, дующий с северо-северо-запада";"3";"";"12";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"-9.9";"";"";"";"";"";"";
"05.12.2024 23:00";"-4.2";"745.0";"771.9";"1.5";"71";"Ветер, дующий с северо-запада";"3";"";"10";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-8.7";"";"";"";"";"";"";
"05.12.2024 20:00";"-3.7";"743.5";"770.3";"1.3";"74";"Ветер, дующий с северо-запада";"3";"";"11";"60%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"10%  или менее, но не 0";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"-7.8";"Следы осадков";"12";"";"";"";"";
"05.12.2024 17:00";"-3.5";"742.2";"769.0";"1.1";"74";"Ветер, дующий с западо-северо-запада";"6";"11";"12";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"-7.5";"";"";"";"";"";"";
"05.12.2024 14:00";"-3.5";"741.1";"767.8";"0.8";"69";"Ветер, дующий с западо-северо-запада";"4";"";"11";"60%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"-8.5";"";"";"";"";"";"";
"05.12.2024 11:00";"-3.3";"740.3";"766.9";"0.4";"84";"Ветер, дующий с запада";"4";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"-5.7";"";"";"";"";"";"";
"05.12.2024 08:00";"-3.6";"739.9";"766.6";"0.3";"82";"Ветер, дующий с запада";"4";"";"12";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-3.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"-6.3";"Следы осадков";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"4.0";
"05.12.2024 05:00";"-3.1";"739.6";"766.3";"-0.2";"86";"Ветер, дующий с запада";"5";"";"11";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"-5.2";"";"";"";"";"";"";
"05.12.2024 02:00";"-2.6";"739.8";"766.4";"-0.5";"86";"Ветер, дующий с запада";"4";"";"10";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"-4.6";"";"";"";"";"";"";
"04.12.2024 23:00";"-2.6";"740.3";"766.9";"-0.9";"88";"Ветер, дующий с западо-юго-запада";"4";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"-4.3";"";"";"";"";"";"";
"04.12.2024 20:00";"-2.3";"741.2";"767.8";"-0.5";"90";"Ветер, дующий с западо-юго-запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-2.3";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"-3.7";"Следы осадков";"12";"";"";"";"";
"04.12.2024 17:00";"-2.5";"741.7";"768.3";"-0.2";"89";"Ветер, дующий с западо-юго-запада";"4";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"-4.1";"";"";"";"";"";"";
"04.12.2024 14:00";"-2.6";"741.9";"768.5";"-0.4";"86";"Ветер, дующий с запада";"4";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"20.0";"-4.7";"";"";"";"";"";"";
"04.12.2024 11:00";"-3.0";"742.3";"769.0";"0.0";"90";"Ветер, дующий с запада";"4";"";"12";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-3.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"20.0";"-4.5";"";"";"";"";"";"";
"04.12.2024 08:00";"-2.8";"742.3";"769.0";"0.3";"89";"Ветер, дующий с запада";"4";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-2.8";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"-4.4";"Следы осадков";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"4.0";
"04.12.2024 05:00";"-2.1";"742.0";"768.5";"0.3";"88";"Ветер, дующий с запада";"5";"";"11";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"-3.8";"";"";"";"";"";"";
"04.12.2024 02:00";"-1.1";"741.7";"768.1";"0.0";"89";"Ветер, дующий с запада";"5";"";"12";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"100%.";"300-600";"";"";"10.0";"-2.7";"";"";"";"";"";"";
"03.12.2024 23:00";"-0.4";"741.7";"768.1";"0.3";"86";"Ветер, дующий с запада";"5";"";"10";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-2.5";"";"";"";"";"";"";
"03.12.2024 20:00";"0.0";"741.4";"767.8";"0.3";"85";"Ветер, дующий с запада";"4";"";"11";"100%.";" ";"";"";"";"0.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-2.3";"Следы осадков";"12";"";"";"";"";
"03.12.2024 17:00";"-0.2";"741.1";"767.5";"0.6";"83";"Ветер, дующий с запада";"4";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-2.8";"";"";"";"";"";"";
"03.12.2024 14:00";"-0.2";"740.5";"766.9";"0.4";"82";"Ветер, дующий с запада";"5";"11";"12";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"-2.9";"";"";"";"";"";"";
"03.12.2024 11:00";"-0.2";"740.1";"766.4";"0.4";"83";"Ветер, дующий с западо-юго-запада";"4";"";"11";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"-2.7";"";"";"";"";"";"";
"03.12.2024 08:00";"-0.5";"739.7";"766.1";"0.1";"84";"Ветер, дующий с запада";"6";"10";"12";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-1.0";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"-2.9";"Следы осадков";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"5.0";
